                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 2.2064,                 1.6975,                 1.8316,                0.55093,                0.53057,                0.48214,                0.20833,                 2.1111,                 1.4538,                 1.7187,              0.0013813,              0.0013813,              0.0013813
                    127,                 2.2295,                 1.7808,                  1.983,                0.52065,                0.51211,                0.47587,                0.19642,                 2.1837,                 1.5277,                 1.7156,              0.0013763,              0.0013763,              0.0013763
                    128,                 2.3065,                 1.8012,                 1.8679,                0.46582,                0.50634,                0.43068,                0.18443,                 2.1673,                 1.5679,                 1.7098,              0.0013714,              0.0013714,              0.0013714
                    129,                 2.2209,                  1.732,                 1.8788,                0.46098,                0.49596,                0.42837,                0.18565,                 2.1253,                 1.5754,                 1.6964,              0.0013664,              0.0013664,              0.0013664
                    130,                 2.2751,                   1.64,                 1.7563,                0.46118,                0.49481,                0.44254,                0.19628,                 2.0713,                  1.593,                 1.6915,              0.0013615,              0.0013615,              0.0013615
                    131,                 2.1823,                 1.6239,                 1.8359,                0.55001,                0.48904,                0.46977,                0.22039,                 2.0203,                 1.5084,                 1.6792,              0.0013565,              0.0013565,              0.0013565
                    132,                 2.1181,                 1.6855,                 1.8059,                0.54047,                0.49827,                0.47194,                0.21993,                  2.041,                 1.4684,                 1.6886,              0.0013515,              0.0013515,              0.0013515
                    133,                 2.1256,                 1.6439,                 1.8115,                0.50693,                0.51903,                0.46758,                0.21854,                 2.0563,                 1.4526,                 1.6911,              0.0013466,              0.0013466,              0.0013466
                    134,                 2.2803,                 1.7001,                 1.8119,                0.51699,                 0.5111,                0.45628,                0.20858,                 2.0547,                  1.486,                 1.6919,              0.0013417,              0.0013417,              0.0013417
                    135,                 2.1716,                 1.7826,                 1.8646,                 0.4793,                0.47059,                 0.3969,                0.16585,                 2.2112,                 1.6269,                 1.7425,              0.0013367,              0.0013367,              0.0013367
                    136,                 2.1627,                 1.7149,                 1.8975,                0.51157,                0.52134,                0.44823,                0.18984,                 2.1412,                 1.5523,                 1.6972,              0.0013318,              0.0013318,              0.0013318
                    137,                 2.2268,                 1.5586,                 1.6871,                0.54748,                0.55017,                0.49582,                0.21999,                 2.0446,                 1.4862,                 1.6623,              0.0013268,              0.0013268,              0.0013268
                    138,                 2.1074,                 1.7026,                 1.8582,                0.54259,                0.51717,                0.50833,                0.23766,                 2.0845,                 1.4678,                 1.6862,              0.0013219,              0.0013219,              0.0013219
                    139,                 2.1704,                 1.7647,                 1.8765,                0.56079,                0.51557,                0.49294,                0.23601,                 2.0311,                 1.4999,                 1.6587,              0.0013169,              0.0013169,              0.0013169
                    140,                 2.1265,                  1.835,                 1.9581,                0.61359,                0.53298,                0.53454,                0.25946,                 1.9771,                 1.4962,                  1.621,               0.001312,               0.001312,               0.001312
                    141,                 2.0836,                 1.6098,                 1.7763,                0.61027,                0.54325,                0.53854,                0.26412,                 1.9622,                 1.4711,                 1.6094,               0.001307,               0.001307,               0.001307
                    142,                 2.2957,                 1.5421,                  1.646,                0.59931,                0.55033,                 0.5441,                0.26594,                 1.9512,                 1.4182,                 1.6121,               0.001302,               0.001302,               0.001302
                    143,                 2.2396,                 1.7329,                 1.9276,                0.59656,                0.53518,                0.52979,                 0.2427,                 2.0155,                 1.4759,                 1.6615,              0.0012971,              0.0012971,              0.0012971
                    144,                 2.0827,                 1.6127,                 1.7996,                0.56665,                0.53057,                0.51757,                0.22818,                 2.0658,                 1.5099,                 1.6904,              0.0012922,              0.0012922,              0.0012922
                    145,                 2.1826,                 1.5251,                 1.7161,                0.56049,                0.52952,                0.51403,                0.23097,                 2.0472,                 1.4838,                 1.6646,              0.0012872,              0.0012872,              0.0012872
                    146,                  2.085,                 1.5576,                 1.7854,                0.56214,                0.51326,                0.52065,                0.23783,                 2.0001,                  1.434,                 1.6444,              0.0012822,              0.0012822,              0.0012822
