                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 2.6351,                 1.8865,                 1.9403,                 0.3539,                0.47982,                0.32786,                0.11876,                 2.3933,                 1.7268,                 1.9064,              0.0017763,              0.0017763,              0.0017763
                    115,                 2.4792,                 1.8989,                 1.9538,                0.45686,                 0.4902,                0.40402,                0.14611,                 2.2993,                 1.6302,                 1.8573,              0.0017743,              0.0017743,              0.0017743
                    116,                 2.5528,                 1.9413,                 1.9785,                0.44073,                0.47405,                0.39042,                0.13159,                 2.3268,                 1.6669,                 1.8533,              0.0017723,              0.0017723,              0.0017723
                    117,                 2.4357,                 2.0926,                 2.1542,                0.42467,                0.46597,                0.35291,                0.12338,                  2.306,                 1.7265,                 1.8403,              0.0017703,              0.0017703,              0.0017703
                    118,                 2.4267,                 1.8898,                  2.029,                0.36638,                0.48558,                0.30313,                0.11499,                 2.2361,                 1.8104,                 1.8159,              0.0017683,              0.0017683,              0.0017683
                    119,                 2.3044,                  1.997,                 2.0774,                0.28731,                0.45103,                0.25978,                0.10374,                 2.2519,                 1.9896,                 1.8053,              0.0017664,              0.0017664,              0.0017664
                    120,                  2.308,                 1.8885,                 1.9959,                0.30463,                0.46435,                0.29933,                0.12351,                 2.2313,                  1.862,                 1.7975,              0.0017644,              0.0017644,              0.0017644
                    121,                 2.2088,                 1.7209,                 1.8454,                0.32666,                0.43483,                0.31004,                0.13104,                  2.271,                 1.7609,                 1.8026,              0.0017624,              0.0017624,              0.0017624
                    122,                 2.3941,                 1.7729,                 1.8726,                0.36158,                0.44406,                0.32967,                0.13537,                 2.2751,                 1.7185,                 1.8005,              0.0017604,              0.0017604,              0.0017604
                    123,                 2.3521,                 1.8874,                 2.0563,                0.39368,                0.48558,                0.35401,                0.14111,                 2.2323,                  1.597,                 1.7733,              0.0017584,              0.0017584,              0.0017584
                    124,                 2.4615,                 1.7641,                 1.9058,                0.41578,                0.52134,                0.37425,                0.15262,                 2.1401,                  1.611,                 1.7463,              0.0017565,              0.0017565,              0.0017565
                    125,                 2.2927,                 1.8698,                 1.9029,                0.39608,                0.46523,                0.35371,                0.14423,                 2.1477,                 1.6259,                 1.7392,              0.0017545,              0.0017545,              0.0017545
                    126,                 2.1565,                 1.7527,                 1.8236,                 0.3976,                0.46666,                0.36013,                0.13918,                 2.1796,                 1.6542,                 1.7449,              0.0017525,              0.0017525,              0.0017525
                    127,                   2.27,                 1.8801,                 1.9934,                0.36059,                0.45098,                 0.3424,                0.12569,                  2.238,                 1.6735,                 1.7578,              0.0017505,              0.0017505,              0.0017505
                    128,                 2.3211,                 1.8706,                 1.8831,                0.33909,                0.44521,                 0.3461,                0.14027,                 2.1555,                 1.6582,                 1.7235,              0.0017485,              0.0017485,              0.0017485
                    129,                 2.2267,                 1.8019,                 1.9211,                0.40109,                0.46136,                0.39125,                0.17207,                 2.0831,                 1.5925,                 1.6988,              0.0017466,              0.0017466,              0.0017466
                    130,                 2.2448,                 1.7216,                 1.7742,                0.44153,                0.48968,                0.41642,                0.19014,                 2.0356,                 1.5559,                 1.6812,              0.0017446,              0.0017446,              0.0017446
                    131,                  2.207,                 1.7129,                 1.8638,                0.48811,                0.51096,                0.43874,                0.19065,                 2.1059,                 1.5879,                 1.7069,              0.0017426,              0.0017426,              0.0017426
                    132,                 2.1375,                 1.7708,                  1.826,                0.46642,                0.51211,                0.42398,                0.17707,                 2.1335,                  1.575,                 1.7015,              0.0017406,              0.0017406,              0.0017406
